TIPO,PROVINCIA,ESTADO,CONSTRUCCION,TERRENO,AVALUO ,DESCUENTO,PRECIO DE VENTA
Apartamento,San José,NUEVA,127.4,127.4,33540353.92,0,33540353.92
Apartamento,Guanacaste,NUEVA,50.66,50.66,52406968.33,0,52406968.33
Casa,Cartago,NUEVA,346.61,228.56,90678758.7,0,90678758.7
Casa,Puntarenas,NUEVA,269,744.44,44783407.46,0,44783407.46
Lote,Alajuela,NUEVA,0,558.36,52244062.5,0,52244062.5
Lote,Guanacaste,NUEVA,0,8819,27309973.68,0,27309973.68
Lote,Puntarenas,NUEVA,0,6986.18,10479270,0,10479270
Lote,San José,NUEVA,0,8672,100572300,0,100572300
Casa,Alajuela,USADA,84,168.86,14903892.78,0.38,9314932.99
Casa,Alajuela,USADA,269.5,404.33,59663284.73,0.6,23865313.89
Casa,Alajuela,USADA,938,1843.19,176700719.5,0.45,97185395.7
Casa,Alajuela,USADA,82.8,518.78,11342364.82,0.23,8790332.74
Casa,Alajuela,USADA,117.3,437.06,49937314.47,0.23,38701418.71
Casa,Alajuela,USADA,143.7,132.72,33739703,0.23,26148269.83
Casa,Alajuela,USADA,84.1,159.68,20752626.42,0.15,17639732.46
Casa,Alajuela,USADA,183.29,255,68676304.4,0.08,63525581.57
Casa,Alajuela,USADA,36,679.87,10641302.78,0.08,9843205.07
Casa,Cartago,USADA,60.23,214.37,18775751.88,0,18775751.88
Casa,Cartago,USADA,187.97,166.54,48934569.54,0.15,41594384.11
Casa,Cartago,USADA,114.32,136,50955732.75,0.08,47134052.79
Casa,Guanacaste,USADA,77.8,197,21996924.01,0.23,17047616.11
Casa,Guanacaste,USADA,96.5,592,20426626.52,0.08,18894629.53
Casa,Guanacaste,USADA,393,20007.73,151893884.2,0.6,60757553.67
Casa,Guanacaste,USADA,143,10028,74990435.26,0.6,29996174.1
Casa,Guanacaste,USADA,160,160,17918707.91,0.38,11199192.44
Casa,Guanacaste,USADA,131.75,1000,30595091.87,0.6,12238036.75
Casa,Guanacaste,USADA,162.6,244.9,28428891,0.53,13503723.23
Casa,Guanacaste,USADA,84,236.07,25924372.56,0.45,14258404.91
Casa,Guanacaste,USADA,281.4,922.56,57026483.23,0.38,35641552.02
Casa,Guanacaste,USADA,118.53,384.28,28661400.22,0.23,22212585.17
Casa,Guanacaste,USADA,226.7,312.46,52395133.58,0.23,40606228.52
Casa,Guanacaste,USADA,67,458,12212398.46,0.23,9464608.81
Casa,Guanacaste,USADA,98.5,15152,26173648.13,0.15,22247600.91
Casa,Guanacaste,USADA,89.4,195.32,11399106.49,0.15,9689240.52
Casa,Guanacaste,USADA,106.5,132.92,24983217.15,0.08,23109475.86
Casa,Guanacaste,USADA,139,244.52,32786653.01,0.08,30327654.03
Casa,Heredia,USADA,66.9,288,12096856.8,0.23,9375064.02
Casa,Heredia,USADA,121.2,366.32,13507418.48,0.15,11481305.71
Casa,Heredia,USADA,166.94,166.94,63886551.65,0.08,59095060.28
Casa,Heredia,USADA,139.08,207.93,73860323.02,0.08,68320798.79
Casa,Limón,USADA,134.77,238.15,13047905.37,0.38,8154940.86
Casa,Limón,USADA,52.5,292.64,13787790.4,0.53,6549200.44
Casa,Limón,USADA,121.1,847.75,29023835.01,0.3,20316684.51
Casa,Limón,USADA,111.6,173.37,26615437.08,0.23,20626963.74
Casa,Puntarenas,USADA,120,150.13,21603468.28,0.38,13502167.68
Casa,Puntarenas,USADA,176,267.94,51486775.2,0.38,32179234.5
Casa,Puntarenas,USADA,255.5,253.33,38717048.51,0.3,27101933.96
Casa,Puntarenas,USADA,101,318.1,21556326.33,0.23,16706152.91
Casa,Puntarenas,USADA,169.1,314.97,27691919.36,0.08,25615025.41
Casa,Puntarenas,USADA,237,409.37,77699390.51,0.08,71871936.22
Casa,San José,USADA,709,736.66,194373997.2,0.6,77749598.86
Casa,San José,USADA,234,117,48446062.42,0.38,30278789.01
Casa,San José,USADA,303,5813.27,87543705.71,0.38,54714816.07
Casa,San José,USADA,159.2,267,41530704.38,0.23,32186295.89
Casa,San José,USADA,409.46,466.22,201288493.9,0.23,155998582.8
Casa,San José,USADA,135.94,127.8,40151168.05,0.15,34128492.84
Casa,San José,USADA,60,60,33823368.21,0.08,31286615.59
Casa,San José,USADA,244.5,152.38,75594439.01,0.08,69924856.08
Finca,Alajuela,USADA,0,195867,2697198261,0.6,1078879304
Finca,Alajuela,USADA,0,13537.51,113827474.1,0.6,45530989.65
Finca,Alajuela,USADA,0,16878,24103415.94,0.38,15064634.96
Finca,Alajuela,USADA,114.51,16987.3,54421538.56,0.53,25850230.82
Finca,Alajuela,USADA,0,59302.08,32023123.2,0.23,24817920.48
Finca,Alajuela,USADA,0,754333.81,72506565.82,0.15,61630580.95
Finca,Cartago,USADA,0,66003,82247123.01,0.15,69910054.56
Finca,Guanacaste,USADA,0,23794.14,186118114,0.6,74447245.6
Finca,Guanacaste,USADA,0,1160.59,13917422.52,0,13917422.52
Finca,Guanacaste,USADA,0,118839,163463760,0.53,77645286
Finca,Guanacaste,USADA,0,161577,90188315,0.45,49603573.25
Finca,Guanacaste,USADA,0,52605,106051680,0.38,66282300
Finca,Guanacaste,USADA,0,110484,91480752,0.38,57175470
Finca,Guanacaste,USADA,0,978060,237651155,0.15,202003481.8
Finca,Puntarenas,USADA,0,13969,110538151.2,0,110538151.2
Finca,Puntarenas,USADA,0,10125,76319770,0.6,30527908
Finca,Puntarenas,USADA,0,21134,136699107.9,0.6,54679643.15
Finca,Puntarenas,USADA,0,157234,39111690,0.23,30311559.75
Finca,Limón,USADA,0,617183,792864443.3,0.3,555005110.3
Local Comercial,Alajuela,USADA,1810,19855.65,246460686.4,0.6,98584274.55
Local Comercial,Alajuela,USADA,574.2,255,342253037.8,0.6,136901215.1
Local Comercial,Alajuela,USADA,732.59,408,285837356.5,0.6,114334942.6
Local Comercial,Alajuela,USADA,235.4,256.79,58594505.36,0.08,54199917.46
Local Comercial,Cartago,USADA,497.25,211.12,322035690.8,0.08,297883014
Local Comercial,Guanacaste,USADA,474.9,494.65,83462456.34,0.3,58423719.44
Local Comercial,Guanacaste,USADA,124,689.06,25066545.6,0.23,19426572.84
Local Comercial,Guanacaste,USADA,353.5,7128.84,225575272.5,0.23,174820836.2
Local Comercial,Guanacaste,USADA,211.3,581.12,87515449,0.23,67824472.98
Local Comercial,Guanacaste,USADA,250.5,1367,53930800.45,0.08,49885990.42
Local Comercial,Limón,USADA,202,202,45270044.77,0.38,28293777.98
Local Comercial,Limón,USADA,1771.55,1890,364433938.8,0.15,309768847.9
Local Comercial,Puntarenas,USADA,311.8,4591.19,54683183.63,0.38,34176989.77
Local Comercial,Puntarenas,USADA,279.7,688.95,115665488.6,0.08,106990576.9
Local Comercial,Puntarenas,USADA,162.3,663,18616229.34,0.08,17220012.14
Lote,Alajuela,USADA,0,8775,23750857.04,0.45,13062971.37
Lote,Alajuela,USADA,0,5326,16250335.16,0.53,7718909.2
Lote,Alajuela,USADA,0,414,17130000,0.6,6852000
Lote,Alajuela,USADA,0,4990,69289951.35,0.38,43306219.59
Lote,Alajuela,USADA,0,474,4103358.75,0.6,1641343.5
Lote,Alajuela,USADA,0,2368.31,138949154.3,0.45,76422034.89
Lote,Alajuela,USADA,0,958.81,14600758.68,0.38,9125474.18
Lote,Alajuela,USADA,0,959.36,14609134.08,0.38,9130708.8
Lote,Alajuela,USADA,0,1468.43,11512491.2,0.23,8922180.68
Lote,Alajuela,USADA,0,955,8823095.1,0.23,6837898.7
Lote,Alajuela,USADA,0,192,3430464,0.15,2915894.4
Lote ,Alajuela,USADA,0,393.23,8033462.49,0.08,7430952.8
Lote,Alajuela,USADA,0,340,4522000,0.08,4182850
Lote,Alajuela,USADA,0,340,4522000,0.08,4182850
Lote,Alajuela,USADA,0,311,4136300,0.08,3826077.5
Lote,Cartago,USADA,0,2220.65,29219312.7,0.6,11687725.08
Lote,Guanacaste,USADA,0,603,9344699.68,0.6,3737879.87
Lote,Guanacaste,USADA,0,1444.8,10705968,0.3,7494177.6
