id,dateAdded,dateUpdated,brand,primaryCategories,colors,name,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.currency,prices.offer,prices.size
1,2019-05-01T09:27:22Z,2019-05-01T09:27:22Z,City Classified,Shoes,Black,City Classified Stylish-S Women's Zipper Ankle Booties,29.95,29.95,TRUE,Black,USD,Online only,8
2,2019-05-01T09:27:19Z,2019-05-01T09:27:19Z,Skechers,Shoes,Taupe,"Skechers Women'S You Radiate, Walking",84,84,TRUE,Taupe,USD,Online only,6 M US
3,2019-05-01T09:26:59Z,2019-05-01T09:26:59Z,Floral,Shoes,Black,"FLORAL Pearl Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 12",49.95,49.95,TRUE,Black,USD,Online only,5
4,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,Jambu,Shoes,Black/Multi,Women's Jambu Amal Water Resistant Bootie,127.2,127.2,FALSE,Black/Multi,USD,Online only: 20% off,9.5 BM US
5,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,Trotters,Shoes,White,"trotters women's blast iii boot,black quill,11 n us",47.66,47.66,FALSE,White,USD,Online only: 50% off,11
6,2019-05-01T09:01:36Z,2019-05-01T09:01:36Z,Adidas,Shoes,Metallic Multi Soft Leather,Women's SoftWalk Hart Quarter Strap Wedge Sandal,82.64,82.64,FALSE,Metallic Multi Soft Leather,USD,Online only,11 M
7,2019-05-01T08:08:15Z,2019-05-01T08:17:12Z,Fitflop,Shoes,Denim Blue,Fitflop Lulu Art Denim Women's Toe Thong Slide Sandals T95-406,79.95,79.95,TRUE,Denim Blue,USD,Online only,9
8,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,The Highest Heel,Shoes,Black / Silver,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,62.41,TRUE,Black / Silver,USD,Online only: 26% off,Size 6
9,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,The Highest Heel,Shoes,Black and White Combo,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.5,62.5,TRUE,Black and White Combo,USD,Online only: 26% off,Size 5
10,2019-05-01T08:17:10Z,2019-05-01T08:17:10Z,The Highest Heel,Shoes,Black / Silver,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,62.41,TRUE,Black / Silver,USD,Online only,Size 8
11,2019-05-01T08:17:02Z,2019-05-01T08:17:02Z,Skechers Work,Shoes,Navy/Charcoal,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,103,103,TRUE,Navy/Charcoal,USD,Online only: 13% off,7
12,2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Charles Albert,Shoes,Black,Charles Albert Women's Allstar Riding Knee-High Boot in Black Size: 7,29.99,29.99,TRUE,Black,USD,Online only,6 BM US
13,2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Steve Madden,Shoes,Black Multi,Steve Madden Women's Gonzo Mauve Ankle-High Pump - 5.5M,18.99,18.99,FALSE,Black Multi,USD,Online only,7M
14,2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Soda,Shoes,Light Brown,"Chance by Soda, Bikers Stack Heel Ankle Booties w V-Cut Triangle Perforated Cutout",25,25,FALSE,Light Brown,USD,Online only,5.5
15,2019-05-01T08:16:49Z,2019-05-01T08:16:49Z,Thalia Sodi,Shoes,Natural Snk Pu,Thalia Sodi Womens Zuly Peep Toe Loafers,39.6,39.6,TRUE,Natural Snk Pu,USD,Online only: 20% off,6
16,2019-05-01T08:08:18Z,2019-05-01T08:08:18Z,Charles Albert,Shoes,Black Leopard,Charles Albert Women's Cablee Combat Boot with Plaid Foldover Cuff in Brown Size: 6,29.95,29.95,TRUE,Black Leopard,USD,Online only,8 BM US
17,2019-05-01T08:03:12Z,2019-05-01T08:03:12Z,ELLIE,Shoes,Red,Ellie Shoes E-609-Geneva 6 Pointed Stiletto Sandal 12 / Fuchsia,55,55,FALSE,Red,USD,Online only,6
18,2019-05-01T08:03:02Z,2019-05-01T08:03:02Z,SoftWalk,Shoes,Black Knit Flexible Technical Fabric,women's softwalk sampson sneaker,5000,5000,FALSE,Black Knit Flexible Technical Fabric,USD,Online only,12
19,2019-05-01T07:41:48Z,2019-05-01T07:41:48Z,City Classified,Shoes,Brown,City Classified Women's Round Toe Braided Strap Ankle Boot,31.99,31.99,FALSE,Brown,USD,Online only,9 BM US
20,2019-05-01T07:05:26Z,2019-05-01T07:05:26Z,White Mountain,Shoes,Black Fabric,White Mountain Raymond Women Round Toe Boots,19.99,19.99,FALSE,Black Fabric,USD,Online only: 78% off,6 M
21,2019-05-01T07:05:26Z,2019-05-01T07:05:26Z,Western Chief,Shoes,Florence Berry,Western Chief Women's Plush Slip On Slipper,22.5,22.5,TRUE,Florence Berry,USD,Online only: 58% off,6
22,2019-05-01T05:20:17Z,2019-05-01T05:20:17Z,Floral,Shoes,Silver,"FLORAL Elaine Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner SILVER 7",49.95,49.95,TRUE,Silver,USD,Online only,8
23,2019-05-01T05:20:13Z,2019-05-01T05:20:13Z,Bare Traps,Shoes,Taupe,Baretraps Women's Anias Slide Sandal,18.99,18.99,FALSE,Taupe,USD,Online only: 24% off,7.5
24,2019-05-01T05:20:12Z,2019-05-01T05:20:12Z,Soda,Shoes,Tan Brown,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",24,24,TRUE,Tan Brown,USD,Online only,US 6.5
25,2019-05-01T05:20:04Z,2019-05-01T05:20:04Z,Trotters,Shoes,Black Patent,Women's Louise Pump,157.81,157.81,FALSE,Black Patent,USD,Online only,10
26,2019-05-01T05:20:04Z,2019-05-01T05:20:04Z,ONLINE,Shoes,Black,Carrini Ca Collection Women's Fashion Fa,29.99,29.99,TRUE,Black,USD,Online only,6.5
27,2019-05-01T05:20:01Z,2019-05-01T05:20:01Z,City Classified,Shoes,Black,City Classified Elect S Women's Peep Toe Cut Out Ankle Bootie,25.95,25.95,TRUE,Black,USD,Online only,6
28,2019-05-01T05:19:41Z,2019-05-01T05:19:41Z,Bordello,Shoes,Black/White,2 Inch Heel Two-Tone Button Snap Spat Sexy Spectator Ankle Boot Red White Black,72.9,72.9,TRUE,Black/White,USD,Online only: 18% off,11
29,2019-05-01T05:15:18Z,2019-05-01T05:15:18Z,Cape Robbin,Shoes,Black,"Cape Robbin Women's Pointy Toe Metallic Leatherette Stiletto Ankle Bootie (Black, 8.5 B(M) US)",38.44,38.44,FALSE,Black,USD,Online only,10 BM US
30,2019-05-01T05:15:15Z,2019-05-01T05:15:15Z,Brinley Co.,Shoes,Camel,Women's August Slouchy Wide Calf Boots,34.99,34.99,FALSE,Camel,USD,Online only,7.5
31,2019-05-01T05:15:02Z,2019-05-01T05:15:02Z,Aerosoles,Shoes,White,Women's A2 by Aerosoles Quick Role Knee High Boot,157.32,157.32,FALSE,White,USD,Online only,6.5
32,2019-05-01T05:14:59Z,2019-05-01T05:14:59Z,Trotters,Shoes,Dark Red,Women's Trotters Candice Mary Jane,70.67,70.67,TRUE,Dark Red,USD,Online only,9.5
33,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Mark and Maddux,Shoes,Black,Mark and Maddux Pointed Toe Women's Loafer Pumps,25,25,FALSE,Black,USD,Online only,9
34,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Fila,Shoes,White / Atomic Blue / Safety Yellow,Fila Women's Forward 2 White / Atomic Blue Safety Yellow Ankle-High Running Shoe - 7.5M,67.9,67.9,FALSE,White / Atomic Blue / Safety Yellow,USD,Online only,8M
35,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Steve Madden,Shoes,Black,Steve Madden Women's Leigh Suede Black Ankle-High Leather Pump - 7.5M,21.99,21.99,TRUE,Black,USD,Online only: 72% off,8M
36,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Madden Girl,Shoes,Black Paris,Madden Girl Womens Barbiee Pointed Toe Ankle Fashion Boots,46.92,46.92,TRUE,Black Paris,USD,Online only: 32% off,5
37,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Brinley Co.,Shoes,Wine,Brinley Co. Women's Faux Suede Open Toe Cut-out Wedges,42.99,42.99,TRUE,Wine,USD,Online only: 43% off,9
38,2019-05-01T05:14:41Z,2019-05-01T05:14:41Z,Madden Girl,Shoes,Black Paris,Madden Girl Womens Barbiee Pointed Toe Ankle Fashion Boots,32.31,32.31,TRUE,Black Paris,USD,Online only: 53% off,5.5
39,2019-05-01T05:07:07Z,2019-05-01T05:14:39Z,Unique Bargains,Shoes,Black,PYPE Women Contrast Sole Breathable Mesh Running Shoes,39.87,39.87,TRUE,Black,USD,Online only: 50% off,9.5
40,2019-05-01T05:14:37Z,2019-05-01T05:14:37Z,Brinley Co.,Shoes,Taupe,Womens Comfort Side Strap Riding Boot,54.99,54.99,TRUE,Taupe,USD,Was 99.99,9
41,2019-05-01T05:14:36Z,2019-05-01T05:14:36Z,Noble Outfitters,Shoes,Charcoal,Noble Outfitters Western Boots Womens All Around Floral Embossed 66025,124.95,124.95,TRUE,Charcoal,USD,Online only,7.5 R
42,2019-05-01T05:14:35Z,2019-05-01T05:14:35Z,Noble Outfitters,Shoes,Charcoal,Noble Outfitters Western Boots Womens All Around Floral Embossed 66025,124.95,124.95,FALSE,Charcoal,USD,Online only,8 R
43,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials,Shoes,GOLD/METALLIC/SMOOTH,Seven Dials Womens SYNC,63.99,63.99,TRUE,GOLD/METALLIC/SMOOTH,USD,Online only,10
44,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials,Shoes,Luggage,Seven Dials Womens Sync Split Toe Casual Gladiator Sandals,16.53,16.53,FALSE,Luggage,USD,Online only: 66% off,5
45,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,City Classified,Shoes,Black,"City Classified Women's Faux Leather Mid Calf Stacked Heel Boot (Tan, 9 B(M) US)",41.99,41.99,FALSE,Black,USD,Online only,8.5 BM US
46,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,City Classified,Shoes,Tan,"City Classified Women's Faux Leather Mid Calf Stacked Heel Boot (Tan, 9 B(M) US)",41.99,41.99,TRUE,Tan,USD,Online only,5.5 BM US
47,2019-05-01T05:14:20Z,2019-05-01T05:14:20Z,Aerosoles,Shoes,White,women's aerosoles traveler slip-on,63.19,63.19,TRUE,White,USD,Online only: 20% off,US 10.5W
48,2019-05-01T05:00:50Z,2019-05-01T05:14:17Z,CREVO,Shoes,Brown Nubuck,Women's Crevo Britain Bootie,84.95,84.95,TRUE,Brown Nubuck,USD,Online only,6.5
49,2019-05-01T05:14:08Z,2019-05-01T05:14:08Z,Soda,Shoes,Black,"Mantis by Soda, Women Vintage Western Ankle Bootie Block Heel Perforated Hole Cut Out",33.99,33.99,TRUE,Black,USD,Online only,US 7.5
50,2019-05-01T05:14:07Z,2019-05-01T05:14:07Z,New Balance,Shoes,By,New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W,67.99,67.99,FALSE,By,USD,Online only,9M
51,2019-05-01T05:14:00Z,2019-05-01T05:14:00Z,City Classified,Shoes,Natural Beige,"1-Ayden by City Classified, Comfy Foam Padded Vintage Chunky Block High Heel Mary Jane Pump",27.99,27.99,TRUE,Natural Beige,USD,Online only,US 8
52,2019-05-01T05:13:54Z,2019-05-01T05:13:54Z,Michael Kors,Shoes,Ecru,Michael Kors Natasha Slide Women's Slippers,39.99,39.99,FALSE,Ecru,USD,Online only: 64% off,6 M
53,2019-05-01T05:13:48Z,2019-05-01T05:13:48Z,Diba,Shoes,Natural Leather,Women's Diba True In Between Open Toe Bootie,116.45,116.45,TRUE,Natural Leather,USD,Online only: 22% off,9
54,2019-05-01T05:13:42Z,2019-05-01T05:13:42Z,SummitFashions,Shoes,Red,5 Inch Women's Sexy Knee High Boots High Heel Boot With Zipper,78.89,78.89,TRUE,Red,USD,Online only: 21% off,13
55,2019-05-01T05:13:38Z,2019-05-01T05:13:38Z,Soda,Shoes,Dark Wine Red,"Second by Soda, Lug Sole Combat Bootie w Chunky Block High Heel",38,38,TRUE,Dark Wine Red,USD,Online only,US 6.5
56,2019-05-01T05:05:31Z,2019-05-01T05:13:36Z,Aerosoles,Shoes,Black Suede/Crackle Lizard Print Leather,Women's Aerosoles Times Square Tassel Loafer,47,47,FALSE,Black Suede/Crackle Lizard Print Leather,USD,Online only,8.5
57,2019-05-01T05:13:28Z,2019-05-01T05:13:28Z,Softwalk,Shoes,Brown Printed Python,Softwalk Womens Hampshire Black Snake Flats Size 6.5,55.76,55.76,FALSE,Brown Printed Python,USD,Online only,9
58,2019-05-01T05:12:31Z,2019-05-01T05:12:31Z,Trotters,Shoes,Black Rubberized PU/Ballistic Nylon/Faux Fur,women's trotters bowen tall waterproof boot,89.95,89.95,FALSE,Black Rubberized PU/Ballistic Nylon/Faux Fur,USD,Online only,12
59,2019-05-01T05:12:07Z,2019-05-01T05:12:07Z,Easy Street,Shoes,Brown Tool Polyurethane/Gore,Women's Easy Street Origin Clog,71.12,71.12,TRUE,Brown Tool Polyurethane/Gore,USD,Online only,9.5 N
60,2019-05-01T05:11:53Z,2019-05-01T05:11:53Z,Breckelles,Shoes,Brown,Breckelles Heather-32 New Women PU Criss Cross Strap Chunky Heel Ankle Bootie,38.89,38.89,TRUE,Brown,USD,Online only,7.5
61,2019-05-01T05:11:52Z,2019-05-01T05:11:52Z,Breckelles,Shoes,Tan,Breckelles Rita-62 New Women PU Open Toe Cutout Studs T Strap Flat Sandal Size,39.99,39.99,FALSE,Tan,USD,Online only,8
62,2019-05-01T05:11:38Z,2019-05-01T05:11:38Z,Trotters,Shoes,Black Lux Soft Leather,women's trotters shannon ankle boot,86.28,86.28,TRUE,Black Lux Soft Leather,USD,Online only,9.5
63,2019-05-01T05:06:03Z,2019-05-01T05:11:19Z,SALE,Shoes,Black/White Patent,"*5 Pump W/ Contrast Piping Bow - Black/White Patent, 6",36.29,36.29,FALSE,Black/White Patent,USD,Online only,12
64,2019-05-01T05:11:17Z,2019-05-01T05:11:17Z,Steve Madden,Shoes,Black,Steve Madden Women's Madelena Suede Black Pump - 9M,18.95,18.95,FALSE,Black,USD,Online only: 79% off,6M
65,2019-05-01T05:10:39Z,2019-05-01T05:10:39Z,Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,22.99,22.99,TRUE,Black,USD,Online only: 79% off,7.5M
66,2019-05-01T05:10:34Z,2019-05-01T05:10:34Z,Callisto,Shoes,Camel,Callisto Women's Advisor Camel Pump - 11M,46.34,46.34,TRUE,Camel,USD,Online only: 37% off,8
67,2019-05-01T05:09:31Z,2019-05-01T05:09:31Z,Aerosoles,Shoes,White,women's aerosoles traveler slip-on,90.03,90.03,TRUE,White,USD,Online only,7
68,2019-05-01T05:09:28Z,2019-05-01T05:09:28Z,Breckelles,Shoes,Black,Breckelles AD94 Women Leatherette Designer Cut Out Round Toe Ankle Bootie,37.98,37.98,TRUE,Black,USD,Online only,6
69,2019-05-01T05:09:24Z,2019-05-01T05:09:24Z,Mizuno,Shoes,BLACK-PINK 9013,Wave Daichi 2 Womens - Mizuno,45,45,TRUE,BLACK-PINK 9013,USD,Online only: 65% off,6.5 B US
70,2019-05-01T05:09:23Z,2019-05-01T05:09:23Z,Western Chief,Shoes,Florence Navy,Western Chief Women's Plush Slip On Slipper,16.62,16.62,FALSE,Florence Navy,USD,Online only: 12% off,8
71,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,Unique Bargains,Shoes,Blue,Women Contrast Color PU Panel Mesh Training Shoes,34.29,34.29,TRUE,Blue,USD,Online only: 52% off,8.5
72,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,FitFlop,Shoes,Urban White,Fitflop Womens F-Sporty II Lace Up Fringe Sneaker Shoes,89.99,89.99,TRUE,Urban White,USD,Online only: 31% off,8.5 M US
73,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,Easy Street,Shoes,White,Easy Street Womens Juno Faux Leather Ankle Boots,346.65,346.65,FALSE,White,USD,Online only,8 M
74,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,Skechers,Shoes,Black / White,Skechers Women's Mantra Ultra - Forte Navy / White Ankle-High Fashion Sneaker 7M,17.97,17.97,TRUE,Black / White,USD,Online only: 74% off,6.5M
75,2019-05-01T05:08:48Z,2019-05-01T05:08:48Z,David Tate,Shoes,Natural Satin,David Tate Women's LACEY Natural Ballet Flats 11.5 M,89.93,89.93,FALSE,Natural Satin,USD,Online only,4
76,2019-05-01T05:08:28Z,2019-05-01T05:08:28Z,Pleaser,Shoes,Clear/Smoke Synthetic,Women's Pleaser Beau 608 Wedge Heel,81.63,81.63,TRUE,Clear/Smoke Synthetic,USD,Online only,5
77,2019-05-01T05:08:27Z,2019-05-01T05:08:27Z,Pleaser,Shoes,Clear/Smoke Synthetic,Women's Pleaser Beau 608 Wedge Heel,59.95,59.95,TRUE,Clear/Smoke Synthetic,USD,Online only,6
78,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,Asics,Shoes,Silver / Pistachio / Pink Glow,Asics Women's Gt-1000 4 Silver / Pistachio Pink Glow Ankle-High Mesh Running Shoe - 6M,100,100,FALSE,Silver / Pistachio / Pink Glow,USD,Online only,10.5M
79,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,Asics,Shoes,Mysterioso / Black / Aluminum,Asics Women's Gel-Torrance Mysterioso / Black Aluminum Ankle-High Running Shoe - 10M,62.29,62.29,FALSE,Mysterioso / Black / Aluminum,USD,Online only,7.5M
80,2019-05-01T05:07:55Z,2019-05-01T05:07:55Z,alpine swiss,Shoes,Black Patent,Alpine Swiss Pierina Womens Ballet Flats Leather Lined Classic Slip On Shoes,11.99,11.99,FALSE,Black Patent,USD,Online only: 69% off,Size 9
81,2019-05-01T05:07:16Z,2019-05-01T05:07:16Z,Aerosoles,Shoes,White,Aerosoles Women's Traveler Memory Foam Zip Flats,63.19,63.19,TRUE,White,USD,Online only: 20% off,US 8.5W
82,2019-05-01T05:07:12Z,2019-05-01T05:07:12Z,Carlos,Shoes,White,women's carlos by carlos santana alexia knee high boot,233.25,233.25,TRUE,White,USD,Online only,7
83,2019-05-01T05:07:10Z,2019-05-01T05:07:10Z,Drew,Shoes,Black Combo,Women's Drew Joy,127.96,127.96,TRUE,Black Combo,USD,Online only,10.5
84,2019-05-01T05:07:08Z,2019-05-01T05:07:08Z,City Classified,Shoes,Blue,City Classified Women's Curvy Round Closed Toe Ankle Strap Flat Sandal,21.99,21.99,TRUE,Blue,USD,Online only,7 BM US
85,2019-05-01T05:07:01Z,2019-05-01T05:07:01Z,Floral,Shoes,Black,"FLORAL Gemma Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 7.5",49.95,49.95,TRUE,Black,USD,Online only,7
86,2019-05-01T05:06:52Z,2019-05-01T05:06:52Z,Diba,Shoes,White Leather,Women's Diba True Cuddle Bun Chelsea Boot,148.95,148.95,TRUE,White Leather,USD,Online only,8.5
87,2019-05-01T05:06:51Z,2019-05-01T05:06:51Z,Diba True,Shoes,Chocolate Leather,Women's Diba True Flying Solo Bootie,121.33,121.33,TRUE,Chocolate Leather,USD,Online only,8.5
88,2019-05-01T05:06:07Z,2019-05-01T05:06:07Z,Unique Bargains,Shoes,Blue,PYPE Women Contrast Sole Breathable Mesh Running Shoes,39.87,39.87,TRUE,Blue,USD,Online only: 50% off,9.5
89,2019-05-01T05:06:02Z,2019-05-01T05:06:02Z,Aerosoles,Shoes,Silver Metallic Faux Leather,Women's Aerosoles Silver Plush Gladiator Sandal,57.96,57.96,TRUE,Silver Metallic Faux Leather,USD,Online only,7.5
90,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,New Balance,Shoes,Gg2,New Balance Women's Wx811 Bm2 Ankle-High Running Shoe - 6.5W,47.15,47.15,TRUE,Gg2,USD,Online only: 37% off,5.5M
91,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,Franco Sarto,Shoes,Gray,New Franco Sarto Womens 30712L1 Black Ankle Strap Sandals Size 8,20.71,20.71,TRUE,Gray,USD,Online only: 44% off,8.5
92,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,New Balance,Shoes,Covert Green,New Balance WRL420RB: 420 Classic Covert Green Womens Lifestyle Sneakers,30.04,30.04,FALSE,Covert Green,USD,Online only,6.5 BM US Women
93,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,New Balance,Shoes,Tp,New Balance Womens Wrl24ta Revlite 24 Low Top Lace Up Running Sneaker,22.52,22.52,TRUE,Tp,USD,Online only: 65% off,5W
94,2019-05-01T05:05:56Z,2019-05-01T05:05:56Z,Beacon Shoes,Shoes,Navy Stretch Fabric,Women's Beacon Shoes Surprise Skimmer,49.95,49.95,TRUE,Navy Stretch Fabric,USD,Online only,9.5
95,2019-05-01T05:04:56Z,2019-05-01T05:04:56Z,Floral,Shoes,Gold,FLORAL Teagan Women's Wide Width Block Heel Rhinestone Bow Slingback Pump BLACK 8.5,49.95,49.95,TRUE,Gold,USD,Online only,7.5
96,2019-05-01T05:04:24Z,2019-05-01T05:04:24Z,Emeril Lagasse Footwear,Shoes,Black Leather,Women's Canal Sneaker,49.95,49.95,TRUE,Black Leather,USD,Online only: 23% off,6
97,2019-05-01T05:04:19Z,2019-05-01T05:04:19Z,Diba,Shoes,Natural Leather,Women's Diba True In Between Open Toe Bootie,116.45,116.45,TRUE,Natural Leather,USD,Online only: 22% off,8
98,2019-05-01T05:03:11Z,2019-05-01T05:03:11Z,Dr. Scholl's Shoes,Shoes,Carmel,Dr. Scholl's Womens Svetlana Faux Leather Pointed Toe D'Orsay,50.65,50.65,FALSE,Carmel,USD,Online only,9.5 Medium BM
99,2019-05-01T05:02:38Z,2019-05-01T05:02:38Z,Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,58.93,58.93,TRUE,Black,USD,Online only: 20% off,9.5
100,2019-05-01T05:02:14Z,2019-05-01T05:02:14Z,City Classified,Shoes,Tan,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,36.99,TRUE,Tan,USD,Online only,9
