,dateAdded,dateUpdated,name,brand,primaryCategories,colors,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.offer,prices.size
1,2019-05-01T09:27:22Z,2019-05-01T09:27:22Z,City Classified Stylish-S Women s Zippe,City Classified,Shoes,Black,29.95,29.95,TRUE,Black,Online only,8
2,2019-05-01T09:27:19Z,2019-05-01T09:27:19Z,"Skechers Women S You Radiate, Walking",Skechers,Shoes,Taupe,84,84,TRUE,Taupe,Online only,6 M US
3,2019-05-01T09:26:59Z,2019-05-01T09:26:59Z,FLORAL Pearl Women s Wide Width Evening,Floral,Shoes,Black,49.95,49.95,TRUE,Black,Online only,5
4,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,Women s Jambu Amal Water Resistant Boot,Jambu,Shoes,Black/Multi,127.2,127.2,FALSE,Black/Multi,Online only: 20% off,9.5 BM US
5,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,"trotters women s blast iii boot,black q",Trotters,Shoes,White,47.66,47.66,FALSE,White,Online only: 50% off,11
6,2019-05-01T09:01:36Z,2019-05-01T09:01:36Z,Women s SoftWalk Hart Quarter Strap Wed,Adidas,Shoes,Metallic Multi Soft Leather,82.64,82.64,FALSE,Metallic Multi Soft Leather,Online only,11 M
7,2019-05-01T08:08:15Z,2019-05-01T08:17:12Z,Fitflop Lulu Art Denim Women s Toe Thon,Fitflop,Shoes,Denim Blue,79.95,79.95,TRUE,Denim Blue,Online only,9
8,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,THHSPECTRUM-31 6   Prism Heel And With,The Highest Heel,Shoes,Black / Silver,62.41,62.41,TRUE,Black / Silver,Online only: 26% off,Size 6
9,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,THHSPECTRUM-31 6   Prism Heel And With,The Highest Heel,Shoes,Black and White Combo,62.5,62.5,TRUE,Black and White Combo,Online only: 26% off,Size 5
10,2019-05-01T08:17:10Z,2019-05-01T08:17:10Z,THHSPECTRUM-31 6   Prism Heel And With,The Highest Heel,Shoes,Black / Silver,62.41,62.41,TRUE,Black / Silver,Online only,Size 8
