,DATEADDED,DATEUPDATED,NAME,BRAND,PRIMARYCATEGORIES,COLORS,PRICES.AMOUNTMAX,PRICES.AMOUNTMIN,PRICES.AVAILABILITY,PRICES.COLOR,PRICES.OFFER,PRICES.SIZE
1,2019-05-01T09:27:22Z,2019-05-01T09:27:22Z,CITY CLASSIFIED STYLISH-S WOMEN S ZIPPE,CITY CLASSIFIED,SHOES,BLACK,29.95,29.95,TRUE,BLACK,ONLINE ONLY,8
2,2019-05-01T09:27:19Z,2019-05-01T09:27:19Z,"SKECHERS WOMEN S YOU RADIATE, WALKING",SKECHERS,SHOES,TAUPE,84,84,TRUE,TAUPE,ONLINE ONLY,6 M US
3,2019-05-01T09:26:59Z,2019-05-01T09:26:59Z,FLORAL PEARL WOMEN S WIDE WIDTH EVENING,FLORAL,SHOES,BLACK,49.95,49.95,TRUE,BLACK,ONLINE ONLY,5
4,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,WOMEN S JAMBU AMAL WATER RESISTANT BOOT,JAMBU,SHOES,BLACK/MULTI,127.2,127.2,FALSE,BLACK/MULTI,ONLINE ONLY: 20% OFF,9.5 BM US
5,2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,"TROTTERS WOMEN S BLAST III BOOT,BLACK Q",TROTTERS,SHOES,WHITE,47.66,47.66,FALSE,WHITE,ONLINE ONLY: 50% OFF,11
6,2019-05-01T09:01:36Z,2019-05-01T09:01:36Z,WOMEN S SOFTWALK HART QUARTER STRAP WED,ADIDAS,SHOES,METALLIC MULTI SOFT LEATHER,82.64,82.64,FALSE,METALLIC MULTI SOFT LEATHER,ONLINE ONLY,11 M
7,2019-05-01T08:08:15Z,2019-05-01T08:17:12Z,FITFLOP LULU ART DENIM WOMEN S TOE THON,FITFLOP,SHOES,DENIM BLUE,79.95,79.95,TRUE,DENIM BLUE,ONLINE ONLY,9
8,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,THHSPECTRUM-31 6   PRISM HEEL AND WITH,THE HIGHEST HEEL,SHOES,BLACK / SILVER,62.41,62.41,TRUE,BLACK / SILVER,ONLINE ONLY: 26% OFF,SIZE 6
9,2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,THHSPECTRUM-31 6   PRISM HEEL AND WITH,THE HIGHEST HEEL,SHOES,BLACK AND WHITE COMBO,62.5,62.5,TRUE,BLACK AND WHITE COMBO,ONLINE ONLY: 26% OFF,SIZE 5
10,2019-05-01T08:17:10Z,2019-05-01T08:17:10Z,THHSPECTRUM-31 6   PRISM HEEL AND WITH,THE HIGHEST HEEL,SHOES,BLACK / SILVER,62.41,62.41,TRUE,BLACK / SILVER,ONLINE ONLY,SIZE 8
