dateAdded,dateUpdated,brand,categories,primaryCategories,colors,ean / upc,name,prices.amountMax,prices.amountMin,prices.availability,prices.dateSeen,prices.offer,prices.size,sizes
2019-05-01T09:27:22Z,2019-05-01T09:27:22Z,City Classified,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,656000000000.00,City Classified Stylish-S Women's Zipper Ankle Booties,29.95,29.95,TRUE,2019-04-19T07:09:29Z,Online only,8,8
2019-05-01T09:27:19Z,2019-05-01T09:27:19Z,Skechers,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Taupe,192000000000.00,"Skechers Women'S You Radiate, Walking",84,84,TRUE,2019-04-24T09:14:11Z,Online only,6 M US,6 M US
2019-05-01T09:26:59Z,2019-05-01T09:26:59Z,Floral,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,709000000000.00,"FLORAL Pearl Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 12",49.95,49.95,TRUE,2019-04-25T12:35:00.000Z,Online only,5,5
2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,Jambu,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black/Multi,884000000000.00,Women's Jambu Amal Water Resistant Bootie,127.2,127.2,FALSE,2019-04-30T19:49:00.000Z,Online only: 20% off,9.5 BM US,9.5 BM US
2019-05-01T09:26:56Z,2019-05-01T09:26:56Z,Trotters,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White,887000000000.00,"trotters women's blast iii boot,black quill,11 n us",47.66,47.66,FALSE,2019-04-19T07:07:46Z,Online only: 50% off,11,11
2019-05-01T09:01:36Z,2019-05-01T09:01:36Z,Adidas,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Metallic Multi Soft Leather,887000000000.00,Women's SoftWalk Hart Quarter Strap Wedge Sandal,82.64,82.64,FALSE,2019-05-01T03:05:44Z,Online only,11 M,11 M
2019-05-01T08:08:15Z,2019-05-01T08:17:12Z,Fitflop,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Denim Blue,193000000000.00,Fitflop Lulu Art Denim Women's Toe Thong Slide Sandals T95-406,79.95,79.95,TRUE,2019-04-26T14:38:00.000Z,Online only,9,9
2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,The Highest Heel,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black / Silver,846000000000.00,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,62.41,TRUE,2019-04-25T12:37:00.000Z,Online only: 26% off,Size 6,Size 6
2019-05-01T08:17:11Z,2019-05-01T08:17:11Z,The Highest Heel,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black and White Combo,846000000000.00,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.5,62.5,TRUE,2019-04-25T12:37:00.000Z,Online only: 26% off,Size 5,Size 5
2019-05-01T08:17:10Z,2019-05-01T08:17:10Z,The Highest Heel,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black / Silver,846000000000.00,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,62.41,TRUE,2019-04-25T12:37:00.000Z,Online only,Size 8,Size 8
2019-05-01T08:17:02Z,2019-05-01T08:17:02Z,Skechers Work,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Navy/Charcoal,190000000000.00,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,103,103,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only: 13% off,7,7
2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Charles Albert,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,642000000000.00,Charles Albert Women's Allstar Riding Knee-High Boot in Black Size: 7,29.99,29.99,TRUE,2019-04-27T16:59:00.000Z,Online only,6 BM US,6 BM US
2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Steve Madden,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Multi,662000000000.00,Steve Madden Women's Gonzo Mauve Ankle-High Pump - 5.5M,18.99,18.99,FALSE,2019-04-21T09:24:06Z,Online only,7M,7M
2019-05-01T08:16:50Z,2019-05-01T08:16:50Z,Soda,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Light Brown,791000000000.00,"Chance by Soda, Bikers Stack Heel Ankle Booties w V-Cut Triangle Perforated Cutout",25,25,FALSE,2019-04-19T03:27:49Z,Online only,5.5,5.5
2019-05-01T08:16:49Z,2019-05-01T08:16:49Z,Thalia Sodi,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Natural Snk Pu,727000000000.00,Thalia Sodi Womens Zuly Peep Toe Loafers,39.6,39.6,TRUE,2019-04-20T12:02:59Z,Online only: 20% off,6,6
2019-05-01T08:08:18Z,2019-05-01T08:08:18Z,Charles Albert,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Leopard,642000000000.00,Charles Albert Women's Cablee Combat Boot with Plaid Foldover Cuff in Brown Size: 6,29.95,29.95,TRUE,2019-04-22T03:10:28Z,Online only,8 BM US,8 BM US
2019-05-01T08:03:12Z,2019-05-01T08:03:12Z,ELLIE,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Red,843000000000.00,Ellie Shoes E-609-Geneva 6 Pointed Stiletto Sandal 12 / Fuchsia,55,55,FALSE,2019-04-30T15:12:00.000Z,Online only,6,6
2019-05-01T08:03:02Z,2019-05-01T08:03:02Z,SoftWalk,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Knit Flexible Technical Fabric,887000000000.00,women's softwalk sampson sneaker,5000,5000,FALSE,2019-04-30T12:49:00.000Z,Online only,12,12
2019-05-01T07:41:48Z,2019-05-01T07:41:48Z,City Classified,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Brown,666000000000.00,City Classified Women's Round Toe Braided Strap Ankle Boot,31.99,31.99,FALSE,2019-04-19T07:09:31Z,Online only,9 BM US,9 BM US
2019-05-01T07:05:26Z,2019-05-01T07:05:26Z,White Mountain,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Fabric,888000000000.00,White Mountain Raymond Women Round Toe Boots,19.99,19.99,FALSE,2019-04-19T07:08:39Z,Online only: 78% off,6 M,6 M
2019-05-01T07:05:26Z,2019-05-01T07:05:26Z,Western Chief,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Florence Berry,607000000000.00,Western Chief Women's Plush Slip On Slipper,22.5,22.5,TRUE,2019-04-19T03:14:50Z,Online only: 58% off,6,6
2019-05-01T05:20:17Z,2019-05-01T05:20:17Z,Floral,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Silver,709000000000.00,"FLORAL Elaine Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner SILVER 7",49.95,49.95,TRUE,2019-04-25T12:35:00.000Z,Online only,8,8
2019-05-01T05:20:13Z,2019-05-01T05:20:13Z,Bare Traps,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Taupe,825000000000.00,Baretraps Women's Anias Slide Sandal,18.99,18.99,FALSE,2019-04-20T06:11:31Z,Online only: 24% off,7.5,7.5
2019-05-01T05:20:12Z,2019-05-01T05:20:12Z,Soda,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Tan Brown,791000000000.00,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",24,24,TRUE,2019-04-19T03:27:26Z,Online only,US 6.5,US 6.5
2019-05-01T05:20:04Z,2019-05-01T05:20:04Z,Trotters,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black Patent,887000000000.00,Women's Louise Pump,157.81,157.81,FALSE,2019-04-19T06:18:42Z,Online only,10,10
2019-05-01T05:20:04Z,2019-05-01T05:20:04Z,ONLINE,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,889000000000.00,Carrini Ca Collection Women's Fashion Fa,29.99,29.99,TRUE,2019-04-20T09:00:35Z,Online only,6.5,6.5
2019-05-01T05:20:01Z,2019-05-01T05:20:01Z,City Classified,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,656000000000.00,City Classified Elect S Women's Peep Toe Cut Out Ankle Bootie,25.95,25.95,TRUE,2019-04-19T07:09:27Z,Online only,6,6
2019-05-01T05:19:41Z,2019-05-01T05:19:41Z,Bordello,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black/White,829000000000.00,2 Inch Heel Two-Tone Button Snap Spat Sexy Spectator Ankle Boot Red White Black,72.9,72.9,TRUE,2019-04-27T16:56:00.000Z,Online only: 18% off,11,11
2019-05-01T05:15:18Z,2019-05-01T05:15:18Z,Cape Robbin,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,666000000000.00,"Cape Robbin Women's Pointy Toe Metallic Leatherette Stiletto Ankle Bootie (Black, 8.5 B(M) US)",38.44,38.44,FALSE,2019-04-19T06:59:45Z,Online only,10 BM US,10 BM US
2019-05-01T05:15:15Z,2019-05-01T05:15:15Z,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Camel,870000000000.00,Women's August Slouchy Wide Calf Boots,34.99,34.99,FALSE,2019-04-27T13:01:00.000Z,Online only,7.5,7.5
2019-05-01T05:15:02Z,2019-05-01T05:15:02Z,Aerosoles,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White,737000000000.00,Women's A2 by Aerosoles Quick Role Knee High Boot,157.32,157.32,FALSE,2019-04-27T16:56:00.000Z,Online only,6.5,6.5
2019-05-01T05:14:59Z,2019-05-01T05:14:59Z,Trotters,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Dark Red,887000000000.00,Women's Trotters Candice Mary Jane,70.67,70.67,TRUE,"2019-04-19T06:18:47Z,2019-04-19T06:21:31Z,2019-04-19T06:20:46Z",Online only,9.5,9.5
2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Mark and Maddux,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,689000000000.00,Mark and Maddux Pointed Toe Women's Loafer Pumps,25,25,FALSE,2019-04-29T22:38:00.000Z,Online only,9,9
2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Fila,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White / Atomic Blue / Safety Yellow,789000000000.00,Fila Women's Forward 2 White / Atomic Blue Safety Yellow Ankle-High Running Shoe - 7.5M,67.9,67.9,FALSE,2019-04-20T07:23:06Z,Online only,8M,8M
2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Steve Madden,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,662000000000.00,Steve Madden Women's Leigh Suede Black Ankle-High Leather Pump - 7.5M,21.99,21.99,TRUE,2019-04-25T12:35:00.000Z,Online only: 72% off,8M,8M
2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Madden Girl,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Paris,883000000000.00,Madden Girl Womens Barbiee Pointed Toe Ankle Fashion Boots,46.92,46.92,TRUE,2019-04-19T07:07:06Z,Online only: 32% off,5,5
2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Wine,870000000000.00,Brinley Co. Women's Faux Suede Open Toe Cut-out Wedges,42.99,42.99,TRUE,2019-04-24T06:08:20Z,Online only: 43% off,9,9
2019-05-01T05:14:41Z,2019-05-01T05:14:41Z,Madden Girl,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Paris,883000000000.00,Madden Girl Womens Barbiee Pointed Toe Ankle Fashion Boots,32.31,32.31,TRUE,2019-04-19T07:07:06Z,Online only: 53% off,5.5,5.5
2019-05-01T05:07:07Z,2019-05-01T05:14:39Z,Unique Bargains,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,605000000000.00,PYPE Women Contrast Sole Breathable Mesh Running Shoes,39.87,39.87,TRUE,"2019-04-22T04:16:51Z,2019-04-22T04:17:24Z,2019-04-22T04:15:56Z,2019-04-22T04:16:59Z,2019-04-22T04:16:49Z,2019-04-22T04:15:58Z,2019-04-22T04:16:57Z,2019-04-22T04:15:59Z,2019-04-22T04:16:06Z",Online only: 50% off,9.5,9.5
2019-05-01T05:14:37Z,2019-05-01T05:14:37Z,Brinley Co.,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Taupe,870000000000.00,Womens Comfort Side Strap Riding Boot,54.99,54.99,TRUE,2019-04-19T07:04:12Z,Was 99.99,9,9
2019-05-01T05:14:36Z,2019-05-01T05:14:36Z,Noble Outfitters,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Charcoal,841000000000.00,Noble Outfitters Western Boots Womens All Around Floral Embossed 66025,124.95,124.95,TRUE,2019-04-27T16:59:00.000Z,Online only,7.5 R,7.5 R
2019-05-01T05:14:35Z,2019-05-01T05:14:35Z,Noble Outfitters,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Charcoal,841000000000.00,Noble Outfitters Western Boots Womens All Around Floral Embossed 66025,124.95,124.95,FALSE,2019-04-27T16:59:00.000Z,Online only,8 R,8 R
2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,GOLD/METALLIC/SMOOTH,888000000000.00,Seven Dials Womens SYNC,63.99,63.99,TRUE,2019-04-22T04:03:34Z,Online only,10,10
2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Luggage,888000000000.00,Seven Dials Womens Sync Split Toe Casual Gladiator Sandals,16.53,16.53,FALSE,2019-04-22T04:06:34Z,Online only: 66% off,5,5
2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,City Classified,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,691000000000.00,"City Classified Women's Faux Leather Mid Calf Stacked Heel Boot (Tan, 9 B(M) US)",41.99,41.99,FALSE,2019-04-19T07:09:29Z,Online only,8.5 BM US,8.5 BM US
