cncode,yr,deflator,weight,age,hhsize,male,married,literate,yedu,urban,labor,haccount,hloan_rec,own_house,yhtot,d_labor1,d_labor2,d_labor3,d_age1,d_age2,d_age3,d_age4,yhtot_usd
ALB,2002,0.006499957,93,33,4,0,1,1,15,0,1,,,0,124000,1,0,0,0,1,0,0,805.9946289
ARM,1996,0.00238141,1,33,4,1,1,1,,0,3,0,1,1,261000,0,0,1,0,1,0,0,621.5479126
AZE,1995,0.000350297,729,109,7,0,0,1,7,0,3,,,1,7062000,0,0,1,0,0,0,1,2473.796875
BGR,2001,0.441745132,1,70,1,0,0,1,2,1,3,0,0,1,1236,0,0,1,0,0,0,1,545.9970093
ECU,1998,0.000183601,526,54,3,1,1,,6,1,1,,0,1,18000000,1,0,0,0,0,1,0,3304.813965
GHA,1999,0.000233009,430,35,5,1,1,0,,0,,0,0,,3259952,,,,0,1,0,0,759.5982666
GTM,2000,0.128603771,157,53,8,1,1,0,0,0,1,0,1,1,15840,1,0,0,0,0,1,0,2037.08374
JAM,1999,0.026048312,2000,33,2,0,0,1,11,1,1,0,0,0,48000,1,0,0,0,1,0,0,1250.31897
KGZ,1998,0.036662385,172,51,5,1,1,1,8,0,1,,,1,203249.9844,1,0,0,0,0,1,0,7451.629395
NIC,1998,0.093445897,104,81,7,1,1,1,11,0,3,0,0,1,16560,0,0,1,0,0,0,1,1547.464111
NIC,2001,0.073481098,168,39,5,1,1,1,16,1,1,0,,1,38400,1,0,0,0,1,0,0,2821.674072
PAN,2002,0.973576367,137,30,3,1,1,1,9,1,1,,,,6720,1,0,0,0,1,0,0,6542.433105
ROM,2000,4.61E-05,1,38,3,1,1,1,10,1,1,0,0,1,24092760,1,0,0,0,1,0,0,1110.32373
VNM,1998,7.72E-05,1544,66,7,1,1,1,2,0,3,0,0,1,,0,0,1,0,0,0,1,
ALB,2002,0.006499957,241,54,4,0,0,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,48,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,37,4,1,1,1,12,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,241,59,11,1,1,1,,0,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,170,63,5,1,1,1,15,1,3,,,1,421000,0,0,1,0,0,0,1,2736.481934
ALB,2002,0.006499957,41,62,6,1,1,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,51,5,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,241,60,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,93,15,2,1,0,1,8,0,3,,,1,0,0,0,1,1,0,0,0,0
ALB,2002,0.006499957,241,71,4,1,1,1,1,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,41,25,4,1,1,1,12,1,2,,,1,0,0,1,0,0,1,0,0,0
ALB,2002,0.006499957,41,66,4,0,0,1,4,1,3,,,1,156000,0,0,1,0,0,0,1,1013.993286
ALB,2002,0.006499957,241,38,6,1,1,1,15,0,1,,,1,328200,1,0,0,0,1,0,0,2133.285889
ALB,2002,0.006499957,241,59,4,1,1,1,4,0,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,178,52,3,1,1,1,17,1,1,,,1,358000,1,0,0,0,0,1,0,2326.984619
ALB,2002,0.006499957,140,45,1,1,1,1,8,1,2,,,1,0,0,1,0,0,0,1,0,0
ALB,2002,0.006499957,296,49,5,1,1,1,15,1,1,,,1,240000,1,0,0,0,0,1,0,1559.989624
ALB,2002,0.006499957,275,37,4,1,1,1,8,1,2,,,0,108000,0,1,0,0,1,0,0,701.9953613
ALB,2002,0.006499957,318,39,4,1,1,1,15,1,1,,,1,240000,1,0,0,0,1,0,0,1559.989624
ALB,2002,0.006499957,178,64,6,1,1,1,8,1,3,,,1,213000,0,0,1,0,0,0,1,1384.490845
ALB,2002,0.006499957,241,46,6,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,59,3,1,1,1,4,0,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,241,69,5,1,0,1,4,0,1,,,1,387100,1,0,0,0,0,0,1,2516.133301
ALB,2002,0.006499957,189,58,6,1,1,1,12,1,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,71,3,1,1,1,4,0,3,,,1,180000,0,0,1,0,0,0,1,1169.992188
ALB,2002,0.006499957,140,47,4,1,1,1,17,1,1,,,1,520000,1,0,0,0,0,1,0,3379.977539
ALB,2002,0.006499957,241,45,7,1,1,1,12,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,65,9,1,0,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,178,52,4,1,1,1,8,1,2,,,1,0,0,1,0,0,0,1,0,0
ALB,2002,0.006499957,318,38,5,0,1,1,12,1,2,,,1,0,0,1,0,0,1,0,0,0
ALB,2002,0.006499957,241,65,2,1,1,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,158,31,4,1,1,1,12,1,1,,,1,274000,1,0,0,0,1,0,0,1780.988159
ALB,2002,0.006499957,93,42,7,1,1,1,15,0,1,,,1,132000,1,0,0,0,0,1,0,857.9943237
ALB,2002,0.006499957,296,35,6,1,1,1,12,1,2,,,1,0,0,1,0,0,1,0,0,0
ALB,2002,0.006499957,296,60,3,1,1,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,41,35,8,1,1,1,12,1,1,,,1,508000,1,0,0,0,1,0,0,3301.978027
ALB,2002,0.006499957,178,69,2,1,1,0,,1,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,93,53,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,241,63,3,1,1,1,15,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,178,19,1,0,1,1,8,1,3,,,1,0,0,0,1,1,0,0,0,0
ALB,2002,0.006499957,41,30,4,1,1,1,17,1,1,,,1,380000,1,0,0,0,1,0,0,2469.983643
ALB,2002,0.006499957,276,41,4,1,1,1,15,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,140,51,4,1,1,1,17,1,1,,,1,720000,1,0,0,0,0,1,0,4679.96875
ALB,2002,0.006499957,140,54,4,1,1,1,8,1,2,,,1,219500,0,1,0,0,0,1,0,1426.740479
ALB,2002,0.006499957,93,43,5,1,1,1,15,0,1,,,1,149000,1,0,0,0,0,1,0,968.4935913
ALB,2002,0.006499957,241,48,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,140,52,2,1,1,1,12,1,3,,,1,234000,0,0,1,0,0,1,0,1520.989868
ALB,2002,0.006499957,158,61,1,0,0,1,14,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,50,3,1,1,1,8,0,1,,,1,416700,1,0,0,0,0,1,0,2708.531982
ALB,2002,0.006499957,296,35,4,1,1,1,17,1,1,,,1,421200,1,0,0,0,1,0,0,2737.781738
ALB,2002,0.006499957,189,71,5,1,0,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,61,3,1,1,1,12,1,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,158,56,4,1,1,1,15,1,3,,,0,432000,0,0,1,0,0,1,0,2807.981445
ALB,2002,0.006499957,189,65,8,1,1,1,10,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,56,4,1,1,1,17,1,1,,,1,10000,1,0,0,0,0,1,0,64.99956512
ALB,2002,0.006499957,93,78,7,0,0,0,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,93,45,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,37,4,1,1,1,15,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,41,50,7,1,1,1,15,1,1,,,1,126100,1,0,0,0,0,1,0,819.6445313
ALB,2002,0.006499957,241,44,4,1,1,1,8,0,1,,,1,180000,1,0,0,0,0,1,0,1169.992188
ALB,2002,0.006499957,412,48,6,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,189,61,3,1,1,1,15,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,140,45,6,1,1,1,10,1,1,,,0,364000,1,0,0,0,0,1,0,2365.984375
