abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,price
test,,1993,manuell,0,golf,150000,benzin,480
test,coupe,2011,manuell,190,,125000,diesel,18300
test,suv,2004,automatik,163,grand,125000,diesel,9800
test,kleinwagen,2001,manuell,75,golf,150000,benzin,1500
test,kleinwagen,2008,manuell,69,fabia,90000,diesel,3600
test,limousine,1995,manuell,102,3er,150000,benzin,650
test,cabrio,2004,manuell,109,2_reihe,150000,benzin,2200
test,limousine,1980,manuell,50,andere,40000,benzin,0
control,bus,2014,manuell,125,c_max,30000,benzin,14500
test,kleinwagen,1998,manuell,101,golf,150000,,999
control,limousine,2004,manuell,105,3_reihe,150000,benzin,2000
control,kombi,2005,manuell,140,passat,150000,diesel,2799
control,kombi,1995,manuell,115,passat,150000,benzin,999
control,kombi,2004,manuell,131,passat,150000,,2500
control,suv,2011,manuell,190,navara,70000,diesel,17999
test,kleinwagen,1910,,0,ka,5000,benzin,450
test,,2016,,60,polo,150000,benzin,300
control,kleinwagen,2004,automatik,75,twingo,150000,benzin,1750
test,bus,2007,manuell,136,c_max,150000,diesel,7550
test,bus,2004,manuell,102,a_klasse,150000,benzin,1850
control,coupe,2009,manuell,160,scirocco,100000,benzin,10400
test,limousine,2002,automatik,231,5er,150000,benzin,3699
test,,2018,manuell,90,meriva,150000,benzin,2900
test,kleinwagen,1997,manuell,50,arosa,150000,benzin,450
test,limousine,1990,manuell,118,andere,150000,benzin,500
control,kombi,2002,automatik,193,5er,150000,diesel,2500
control,,2017,manuell,125,c4,125000,,5555
test,limousine,2008,manuell,99,civic,60000,benzin,6900
test,bus,1981,manuell,50,transporter,5000,benzin,1990
test,kleinwagen,2003,manuell,60,punto,150000,benzin,690
test,limousine,1995,automatik,113,e_klasse,150000,diesel,3300
control,,2016,manuell,60,clio,150000,benzin,899
test,limousine,1994,,0,golf,150000,benzin,245
test,limousine,2007,automatik,218,3er,20000,benzin,18000
control,limousine,2004,automatik,122,e_klasse,150000,diesel,3500
test,,2016,manuell,75,golf,150000,benzin,350
control,andere,1991,manuell,75,kadett,70000,,1600
test,,2016,,0,kangoo,150000,diesel,1500
test,andere,2002,manuell,129,andere,150000,diesel,11900
test,bus,1984,manuell,70,andere,150000,diesel,1500
test,,1990,,0,corsa,150000,benzin,0
control,limousine,2002,automatik,306,e_klasse,150000,,7500
test,limousine,2006,automatik,231,5er,150000,diesel,12500
test,limousine,2007,manuell,95,one,100000,benzin,6990
test,kleinwagen,2008,automatik,61,fortwo,80000,benzin,3900
control,kleinwagen,1999,manuell,75,clio,125000,benzin,590
control,limousine,2007,manuell,177,1er,150000,diesel,7999
test,kombi,1998,automatik,193,5er,150000,benzin,2100
control,,2017,manuell,80,golf,100000,benzin,7750
test,bus,2012,automatik,109,b_klasse,150000,diesel,13500
control,cabrio,2008,manuell,170,1er,125000,benzin,14800
control,,2017,manuell,90,punto,150000,diesel,2000
control,,2016,manuell,55,andere,5000,,1400
control,limousine,2008,automatik,143,3er,150000,diesel,7999
control,kombi,2005,manuell,0,signum,150000,,4700
test,kombi,1999,manuell,0,astra,150000,diesel,550
test,coupe,2014,automatik,306,andere,30000,benzin,39600
control,cabrio,2006,automatik,61,fortwo,80000,benzin,3000
test,,2018,manuell,64,andere,125000,,2399
control,limousine,1998,manuell,101,golf,150000,benzin,1000
control,suv,1994,manuell,286,,150000,,1
test,coupe,1995,manuell,102,3er,150000,benzin,200
test,limousine,2004,automatik,232,a8,150000,diesel,7499
control,kleinwagen,2010,manuell,60,fabia,70000,benzin,5500
test,limousine,2006,automatik,105,jetta,100000,diesel,7000
test,cabrio,2007,manuell,218,3er,50000,benzin,14999
test,,2017,manuell,101,astra,50000,,10900
test,coupe,2008,manuell,160,scirocco,150000,benzin,9700
control,suv,2000,manuell,105,andere,150000,benzin,2100
control,limousine,1992,automatik,109,andere,150000,benzin,1280
test,coupe,2001,,0,astra,150000,,1200
control,kleinwagen,1993,manuell,0,polo,150000,benzin,800
control,,1997,manuell,150,5er,150000,,2300
control,kleinwagen,2002,manuell,50,fiesta,150000,benzin,750
control,kombi,2008,manuell,156,c_klasse,150000,benzin,7999
control,limousine,2006,manuell,105,golf,150000,diesel,6600
test,kleinwagen,2013,manuell,80,micra,40000,benzin,7999
control,andere,2003,manuell,82,vito,150000,diesel,1400
test,,2000,manuell,90,golf,150000,diesel,800
test,bus,2006,manuell,109,sprinter,150000,diesel,5000
test,limousine,2010,automatik,204,e_klasse,80000,diesel,20300
control,,2016,manuell,75,astra,150000,benzin,150
test,kombi,2000,manuell,155,156,150000,benzin,250
