Id,carat,price,x,y,z
3041,0.23,326,3.95,3.98,2.43
3042,0.23,326,3.95,3.98,2.43
3043,0.23,326,3.95,3.98,2.43
3044,0.23,326,3.95,3.98,2.43
3045,0.23,326,3.95,3.98,2.43
3046,0.23,326,3.95,3.98,2.43
3047,0.23,326,3.95,3.98,2.43
3048,0.23,326,3.95,3.98,2.43
3049,0.23,326,3.95,3.98,2.43
3050,0.704011,4315.4395,5.071761,5.122135,3.135699
3051,0.21,326,3.89,3.84,2.31
3052,0.21,326,3.89,3.84,2.31
3053,0.21,326,3.89,3.84,2.31
3054,0.21,326,3.89,3.84,2.31
3055,0.21,326,3.89,3.84,2.31
3056,0.21,326,3.89,3.84,2.31
3057,0.21,326,3.89,3.84,2.31
3058,0.21,326,3.89,3.84,2.31
3059,0.21,326,3.89,3.84,2.31
3060,0.684011,4315.4395,5.011761,4.982135,3.015699
3061,0.23,327,4.05,4.07,2.31
3062,0.23,327,4.05,4.07,2.31
3063,0.23,327,4.05,4.07,2.31
3064,0.23,327,4.05,4.07,2.31
3065,0.23,327,4.05,4.07,2.31
3066,0.23,327,4.05,4.07,2.31
3067,0.23,327,4.05,4.07,2.31
3068,0.23,327,4.05,4.07,2.31
3069,0.23,327,4.05,4.07,2.31
3070,0.704011,4316.4395,5.171761,5.2121353,3.015699
3071,0.29,334,4.2,4.23,2.63
3072,0.29,334,4.2,4.23,2.63
3073,0.29,334,4.2,4.23,2.63
3074,0.29,334,4.2,4.23,2.63
3075,0.29,334,4.2,4.23,2.63
3076,0.29,334,4.2,4.23,2.63
3077,0.29,334,4.2,4.23,2.63
3078,0.29,334,4.2,4.23,2.63
3079,0.29,334,4.2,4.23,2.63
3080,0.764011,4323.4395,5.3217607,5.372135,3.335699
3081,0.31,335,4.34,4.35,2.75
3082,0.31,335,4.34,4.35,2.75
3083,0.31,335,4.34,4.35,2.75
3084,0.31,335,4.34,4.35,2.75
3085,0.31,335,4.34,4.35,2.75
3086,0.31,335,4.34,4.35,2.75
3087,0.31,335,4.34,4.35,2.75
3088,0.31,335,4.34,4.35,2.75
3089,0.31,335,4.34,4.35,2.75
3090,0.784011,4324.4395,5.461761,5.492135,3.455699
3091,0.24,336,3.94,3.96,2.48
3092,0.24,336,3.94,3.96,2.48
3093,0.24,336,3.94,3.96,2.48
3094,0.24,336,3.94,3.96,2.48
3095,0.24,336,3.94,3.96,2.48
3096,0.24,336,3.94,3.96,2.48
3097,0.24,336,3.94,3.96,2.48
3098,0.24,336,3.94,3.96,2.48
3099,0.24,336,3.94,3.96,2.48
3100,0.714011,4325.4395,5.061761,5.102135,3.185699
3101,0.24,336,3.95,3.98,2.47
3102,0.24,336,3.95,3.98,2.47
3103,0.24,336,3.95,3.98,2.47
3104,0.24,336,3.95,3.98,2.47
3105,0.24,336,3.95,3.98,2.47
3106,0.24,336,3.95,3.98,2.47
3107,0.24,336,3.95,3.98,2.47
3108,0.24,336,3.95,3.98,2.47
3109,0.24,336,3.95,3.98,2.47
3110,0.714011,4325.4395,5.071761,5.122135,3.175699
3111,0.26,337,4.07,4.11,2.53
3112,0.26,337,4.07,4.11,2.53
3113,0.26,337,4.07,4.11,2.53
3114,0.26,337,4.07,4.11,2.53
3115,0.26,337,4.07,4.11,2.53
3116,0.26,337,4.07,4.11,2.53
3117,0.26,337,4.07,4.11,2.53
3118,0.26,337,4.07,4.11,2.53
3119,0.26,337,4.07,4.11,2.53
3120,0.734011,4326.4395,5.191761,5.2521353,3.235699
3121,0.22,337,3.87,3.78,2.49
